#ATTRS
良い a 2
すごい b 2
美味しい c 0
高い d 0
無い e 2
旨い f 2
難しい g 2
欲しい h 2
甘い i 0
安い j 1
強い k 1
多い l 0
臭 m 0
弱い n 1
薄い o 0
速い p 0
嬉しい q 2
ありがたい r 2
上手く s 2
深い t 0
楽しい u 2
珍しい v 1
少ない w 0
遅い x 0
新しい y 0
若い z 0
まろやか A 2
もったいない B 1
大きい C 0
かっこいい D 2
易い E 2
古い F 0
重い G 0
遠い H 0
辛い I 2
柔らかい J 0
悪い K 2
優しい L 2
細く M 0
明るい N 0
悲しい O 2
近い P 0

#INFOATTRS
11 170 a:デザインも-良いし; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
12 179 a:購入しました。-よかったです。;,値段も-よかったです。;,父も-よかったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
13 190 a:一本空けてしまうので、-いいほう。;,大量購入かな、-いいほう。;,6本購入しても-いいほう。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
14 197 a:味も-良いので; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
15 198 a:分、-良いです。;,香りが-良いです。;p * * * * * * * * * * * * n:パンチは-弱いですが、; * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
16 213 a:残念でしたが、-良かったです！;,商品などは-良かったです！; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
17 226 a:口当たりが-良くとても;f * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
18 242 a:梱包-良かったです;,非常に-良かったです; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
19 251 a:口当たりが-良くて;f * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
20 256 a:今後も-良い; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
21 290 a:赤霧島は-よかったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
22 295 a:購入して-良かったです。; * * * * * * * * * * l:レビューの-多い; * * * * * r:購入出来れば-ありがたいです。; * * * * * * * * * * * * * * * * * * * * * * * * 1
23 297 a:購入して-よかったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
24 300 a:本当に-良かった。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
25 302 a:黒霧島も-よいが、; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
26 338 a:私は、-良かったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
27 345 a:香りが-良いそうです。;p,口当たりも-良いそうです。;f * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
28 350 a:対応は-良いですし、;,非常に-良いですし、;,デザインも-良いです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
29 354 a:リーズナブルで-よかったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
30 369 a:今回購入できて-よかったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
31 370 a:甘みが-いいです。; * c:赤霧島は-おいしいです。; * * * * * * * * * m:芋焼酎は-くさい、という; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
32 374 a:対応が-良くて､; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
33 384 a:最安値でした。-良かったと;,配送も-良かったと;,簡易梱包で-良かったと;,ガサバラず-良かったと; * * * * * * h:事ですね、-欲しいですね;,対応して-欲しいですね; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
34 385 a:注文して-よかったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
35 413 a:今年は-良かったです。;,ものが-良かったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
36 424 a:購入。-良かったです。;,私… しかし-良かったです。;,評判は◎-良かったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
37 457 a:時には-良かったです！; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
38 497 a:味が-よくわからないので、; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
39 504 a:芋焼酎好きには-いいですね。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
40 515 a:春、-いい。;,秋しか-いい。;,出荷しないのが-いい。; * * * * * * * * j:人気があって-安いです。;,ウマい！-安いです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
41 552 a:感激してくれましたので、-良かったです。; * c:父も-美味しいと; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
42 557 a:答えだったらしく、-よかったです！;,ドンピシャだったので-よかったです！; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
43 585 a:心地が-良い; * * * e:ものは-なし。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
44 587 a:大変喜ばれ、-よかったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
45 601 a:お歳暮に-良い;,評判が-良い;,購入させて-良い;,対応の-良い; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
46 604 a:口当たりの-良い;f * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
47 623 a:対応も-いいし、; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
48 639 a:２本購入して-良かったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
49 657 a:購入できて-良かったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
50 658 a:品質，-大変よかったです．;,味ともに-大変よかったです．; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
51 663 a:梱包丁寧で-よかったです; * * * * * * * * * * * * * * * * * * * * * w:品数が-少ないようで; * * * * * * * * * * * * * * * * * * * 1
52 692 a:主人が-良かったと; * * * * * * * * j:中では-一番安かったかな？;,ここが-一番安かったかな？; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
53 705 a:反応が-良かったら、; * * * * * * * * j:思います☆送料が-安いと; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
54 706 a:彼にとっても-良かったです。; * * d:定価よりも-高いって; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
55 724 a:ほんとに-よかったです。; * * * e:目が-ない; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
56 725 a:「芋が-いい！」と; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
57 726 a:妹いわく、-良いそうです。; * c:プレゼントしました。-美味しい』と、; * * * * h:誕生日プレゼントに-欲しいか;,何が-欲しいか; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
58 738 a:210円かけるなら-良かったかな、と;,自分で-良かったかな、と;,ラッピングしても-良かったかな、と; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
59 743 a:のみくちも-よくて; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
60 744 a:対応で-よかったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
61 745 a:かには-いいですね。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
62 750 a:購入。-よかったそうです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
63 768 a:香りも-良い;p,口当たりも-良い;f * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
64 787 a:ラッピングも-良かったです。;,丁寧で-良かったです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
65 792 a:赤霧島、-良かった。;,地元酒屋では-良かった。;,販売は-良かった。;,中々無いので･･･-良かった。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
66 796 a:デザインは-よい。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
67 798 a:芋焼酎なのに-良いので;,飲み口が-良いので; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
68 799 a:高めですが、-よかったです;,購入出来て-よかったです; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
69 806 a:香りも-良いです。;p,抑え気味で-良いです。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
70 816 a:サイズが-いい！！; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
71 822 a:あたりも-よかった。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
72 825 a:梱包も-良かったです！;,エコで-良かったです！;,丁寧で-良かったです！; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
73 839 a:お願いしましたが、-良かったです。; * * * * * * * * * * * * * * * * * * * u:購入しました。-楽で; * * * * * * * * * * * * * * * * * * * * * 1
74 843 a:義父に。-いいな。; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
75 858 a:気持ちの-良い; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
76 865 a:対応していただき、-良い; * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1
